city,target,week,value,source,metric
Los Angeles,fluA,2026-04-05,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-04-12,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-04-19,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-04-26,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-05-03,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-05-10,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-05-17,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-05-24,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-05-31,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-06-07,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-06-14,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-06-21,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-06-28,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-07-05,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-08-03,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-08-10,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-08-17,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-08-24,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-08-31,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-09-07,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-09-14,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-09-21,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-09-28,0.6572003416174514,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-10-05,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-10-12,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-10-19,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-10-26,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-11-02,0.4903071418375526,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-11-09,0.8050964864915392,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-11-16,1.0430781725281775,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-11-23,0.6926306862926372,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-11-30,0.7473569582120857,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-12-07,3.138842629016775,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-12-14,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-12-21,0.8137001445119129,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2025-12-28,11.983292434310684,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-01-04,6.642135629424591,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-01-11,4.171658053135805,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-01-18,14.446928801157817,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-01-25,9.573379433742922,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-02-01,3.023625023964795,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-02-08,5.115432112062175,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-02-15,4.643915509385687,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-02-22,5.07715568001935,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
