city,target,week,value,source,metric
Vancouver,fluB,2025-08-24,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-08-31,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-09-07,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-09-14,0.106351166785354,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-09-21,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-09-28,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-10-05,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-10-12,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-10-19,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-10-26,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-11-02,0.152016270409864,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-11-09,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-11-16,1.10781813539755,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-11-23,0.422417854387215,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-11-30,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-12-07,0.287956047558738,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-12-14,0.869219424635362,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-12-21,1.48194765569912,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-01-04,1.71248971504822,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-01-11,0.971956231791827,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-01-18,0.575833249135832,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-01-25,1.21605843043988,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-02-01,0.613378175090341,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-02-08,1.47630929949706,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-02-15,3.34167528277076,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-02-22,6.33854037920087,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-03-01,7.59683287313224,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-03-08,6.60629009701693,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-03-15,5.74175946586721,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-03-22,11.4701626924463,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-03-29,13.0922034324257,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-04-05,11.7307938374191,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-04-12,14.0523659611044,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-04-19,10.3563840509292,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-04-26,12.9025054058552,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-05-03,14.606865053763,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-05-10,6.86788077545963,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-05-17,3.01201019153894,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-05-24,3.81011980628401,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-05-31,2.33043984420992,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-06-07,2.29059777368072,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-06-14,1.12620275637011,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-06-21,1.06761348811511,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-06-28,1.06671730229696,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2026-07-05,0.719157518611816,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-08-03,0.166744014819185,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-08-10,0.4286455698472045,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-08-17,0.3986585073862145,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-08-24,0.603904195345624,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-08-31,0.150876561688632,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-09-07,0.289710953306777,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-09-14,1.06399692202965,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-09-21,0.558082836854522,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-09-28,0.535969086085076,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-10-05,1.77860301004405,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-10-12,0.895163965252316,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-10-19,1.85558082187523,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-10-26,3.13864611959038,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-11-02,1.7542763220472,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-11-09,3.45766003070213,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-11-16,1.68694205229964,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-11-23,1.34430142131127,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-11-30,4.58829355073945,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-12-07,1.78719570514367,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-12-14,4.20311546585023,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2025-12-21,9.33219499854946,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-01-04,3.40520253202944,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-01-11,3.26943741161308,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-01-18,4.09981941950178,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-01-25,2.44497556266467,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-02-01,2.86349018913258,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-02-08,2.23405878406734,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-02-15,3.82372484656439,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-02-22,9.05899621142596,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-03-01,6.28589133520766,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-03-08,8.99643210070357,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-03-15,2.14027141514135,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-03-22,6.27200540376977,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-03-29,3.58952254017555,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-04-05,0.89058383899239,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-04-12,2.05218580118886,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-04-19,5.41965103419593,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-04-26,0.767115968150538,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-05-03,1.41840928914757,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-05-10,0.369409490697926,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-05-17,0.907695958024895,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-05-24,0.395454485591423,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-05-31,0.437587696477138,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-06-07,0.417696502109095,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-06-14,0.237338360341286,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-06-21,0.0400891812785515,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-06-28,0.125720740885651,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,rsv,2026-07-05,0.318545377365393,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-08-03,3.10632842358602,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-08-10,4.796021874067,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-08-17,9.38178349426101,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-08-24,4.06637739052605,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-08-31,9.83842675511005,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-09-07,8.73422287821488,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-09-14,10.4390763625463,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-09-21,8.44870591984903,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-09-28,8.99788210053059,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-10-05,4.77943406870323,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-10-12,8.48065323647395,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-10-19,6.31569537110814,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-10-26,9.68633986757719,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-11-02,5.02495851127358,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-11-09,7.55312455791349,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-11-16,7.65450811855092,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-11-23,9.13749695329916,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-11-30,11.8970893608333,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-12-07,21.5573813321682,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-12-14,21.7566197466596,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2025-12-21,19.1613630604206,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-01-04,9.69135348790041,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-01-11,5.20218242269077,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-01-18,3.43128056252843,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-01-25,7.78158240786994,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-02-01,7.57315264115258,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-02-08,10.6960871260514,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-02-15,7.06869441755859,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-02-22,11.4299007354424,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-03-01,4.36385238169209,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-03-08,1.98037705722117,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-03-15,4.11277995146981,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-03-22,2.53989578016437,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-03-29,2.49619574552565,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-04-05,2.77987641207391,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-04-12,1.44957046595244,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-04-19,1.23486263545416,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-04-26,1.69709615205647,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-05-03,1.55402421316507,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-05-10,2.16400771327278,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-05-17,1.63666781946837,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-05-24,1.64905737784213,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-05-31,0.860384349879469,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-06-07,1.29988868653309,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-06-14,0.847651867750762,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-06-21,0.497060986843721,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,covN2,2026-06-28,1.00055409921365,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-08-03,0.0122287520131786,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-08-10,0.0122287520131786,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-08-17,0.0122287520131786,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-08-24,0.534919273348776,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-08-31,0.453625358940838,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-09-07,0.371782240595762,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-09-14,0.0122287520131786,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-09-21,0.266403295285626,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Montreal,fluA,2025-09-28,0.0122287520131786,Canada (health-infobase; PMMoV-normalized index),pmmov_index
